"","x"
"216","not kpop related but the philippines already has 52 positive cases of corona virus &amp; now the capital city metro manila has been instructed for a lockdown &amp; schools are suspended for a month. this is serious. prayers for everyone around the world! stay safe guys <U+0001F62D>"
"217","Manila, Philippines is going to be in a lockdown. Classes are suspended until April 12 and people cannot travel via land, sea, and air to manila until April 14. Please stay safe, not only my filipino moots but everyone whose country is affected by "
"218","Metro Manila is in a lockdown for a month WITHOUT plans on how they'll address the workforce who lives in the province but works in the city. Please help save the Philippines with this kind of administration, who ended the non-value adding ""speech"" with a fucking cough on the mic"
"219","wishing all filipinos to be safe!
Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"220","Just had a ""wait, this isn't just flu"" call with my family. Manila went on soft lockdown while we were talking. About same number of cases in their state as Manila right now, but schools still open.

""It's not a good sign when the Philippines is responding better than your govt."" "
"221","there's no playbook for the Philippines. The country needs outside help to do testing in-country. The playbook is probably soft lockdown if you suddenly find 100 cases. "
"222","I didn't know about this Aus case. This is really bad. A ton of people flew to Manila from Guangzhou for safety when Wuhan went lockdown. It had already already across China, though. The Philippines has to send tests out of country and only found 3 cases.

"
"223","ICYMI:
- pnp and afp are happy to serve you during the lockdown
- bong go is a hardworking hottie, the only person ever to work during the COVID-19 crisis
- sugar daddy xi jinping willing to help the philippines
- putangina ng ncov wala siyang tinulong"
"224","And just like that, National Capital Region of the Philippines is on lockdown due to "
"225","GUYS PRESIDENT DUTERTE ANNOUNCED THAT STARTING ON MARCH 15 til' APRIL 2020 PHILIPPINES WILL BE LOCKDOWN ( DEPENDS ON THE SITUATION OF COVID-19)<U+0001F61E> PLEASE PRAY FOR EVERYONES HEALTH AND SAFETY<U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB>"
"226","""CoVid is spreading through the country, including the Philippines.""
-Duterte
"
"227","Do not panic. Cooperate. Stay strong Philippines! <U+0001F64F><U+0001F3FB><U+0001F1F5><U+0001F1ED>

"
"228","Parts of Philippines is now on lockdown/quarantine. Thank God <U+0001F64F>"
"229","This is for the best hoping for the betterment we can do this Philippines "
"230","Interesting difference in the ""Breaking News"" 

ABS-CBN: ""Community Quarantine""
GMA: ""Community Quarantine""
Philippine Star: ""Community Quarantine""
Philippine Daily Inquirer: ""Community Quarantine""
Manila Bulletin: Lockdown
CNN Philippines: Lockdown
Rappler: Lockdown"
"231","The community quarantine, which is essentially a lockdown, will commence in 48 hours or March 15, 2020 and last until April 14, 2020, Duterte said in a message broadcast from Malacañang around 9 p.m. Thursday.

"
"232","Philippines be like rn 

Lockdown lockdown"
"233","Duterte: The virus is spreading all over the country including the Philippines.

Di ko agyu si tatay <U+0001F923><U+0001F923>

"
"234","COVID-19 is spreading throughout the country, including the Philippines.

- Duterte

A clown will always be a clown! <U+0001F921>
"
"235","the capital city of the philippines, metro manila is now on lockdown because of the covid-19 <U+0001F97A> everyone keep safe always <U+0001F97A>"
"236","I just hope this lockdown will really stop covid19 from spreading here in the Philippines. Our current healthcare situation really can't handle if that happens. <U+0001F614>"
"237","Philippines just announced complete lockdown on inbound travels. My Manila work trip is cancelled. Gonna be a tough tough year ahead for the entertainment industry."
"238","metro manila’s in lockdown ..... is it a good thing the philippines’ an archipelago?"
"239","philippines lockdown bc of covid 19, loona 1st win impact got duterte thinking"
"240","the region where i live here in the Philippines  still doesnt have cases of covid-19,,,, but i do wish they can alr declare a lockdown to prevent the spreading of the virus here"
"241","1 month lockdown :&lt;&lt;&lt;&lt; the philippines is NOT prepared for this :&lt;&lt;&lt; kaya pa ba :&lt;&lt;&lt;&lt;&lt;"
"242","President Duterte, please shut down the operations of malls (except for grocery stores, pharmacy), bars, theaters, and massage parlors in the Philippines to prevent the spread of "
"243","Hoping for the philippines, religious sector, even the government all of us will have our deep prayer brigade I know what ever trials God can do miracle now pinpakita nya na kayang kaya tayo ishake let's pray more set aside political, religion conflicts<U+0001F64F>"
"244","finally "
"245","""Lockdown is confirmed for The Northern Capital Region of the Philippines""

. . . That's where the US Embassy is. . . <U+0001F62D><U+0001F62D><U+0001F62D>"
"246","Lockdown in the Philippines won't work (or won't be good) because the government won't give you anything and add to that they would continue to steal money and offer us to china on a silver platter!!!"
"247","President Duterte of the Philippines announced measures, including a Metro Manila lockdown, to mitigate the Wuhan Virus......thanks a lot CCP "
"248","My ambitious TBR pile during this time of “community quarantine”, a.k.a., lockdown "
"249","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the novel coronavirus in the Philippines.
 "
"250","“PRESIDENT Rodrigo Duterte on Thursday, March 12, placed the entire Metro Manila under ""community quarantine"" for...” "
"251","The Philippines is now in a CODE RED SUB LEVEL 2 which means there's have a community transmission and President Duterte order for metro Manila lockdown. We all pray for this crisis and God Bless Us...."
"252","It is lockdown afterall sugarcoated with others terms. 

God bless Metro Manila Philippines!"
"253","guys all i can say is plssss pray for the philippines. let’s hope this becomes an effective measure to contain the virus. "
"254","i’m headed to my province now, my city in the philippines is in rumors for a lockdown, things are getting more and more serious everyday, but don’t panic and always keep yourself clean, stay away from crowds, and take care of yourselves, much love moots &lt;3"
"255","Reports of a planned lockdown in NCR have been circulating due to a spike in confirmed "
"256","Hoping everyone stays safe during the "
"257","philippines might have a lockdown, do please look out at the news.."
"258","COVID-19 IS NOT UNDER HUMAN CONTROL. WATERS, ALCOHOLS, ARE BEING HOARDED AND WALA NG MAPAGBILHAN, PHILIPPINES IS ABOUT TO GET LOCKDOWN. MAKE SURE TO GET ENOUGH, WATER, FOOD, ALCOHOLS, MASKS BEFORE IT HAPPENS. THIS IS NOT A DRILL. PLEASE DO SO. <U+0001F62D>"
"259","I am surprised na walang trending na Pray to Jesus, Pray for the Philippines, Pray for the World. Anong nangyari? Jesus is our Savior. He heals, protects and gives miracles. No matter happens, may lockdown man o wala, I'll continue to praise Him. Hold on to the one true king. <U+0001F60A>"
"260","Lockdown content! We discuss how COVID-19 has affected  moviegoing in the Philippines with Bradley Liew. Also, capsule reviews of what we saw this week including Netflix’s Love Is Blind, and a bit of HBO’s The Outsider.

 "
"261","Possible suspension until April 12 due to pandemic COVID-19 and a possible lockdown. shet. Stay safe, everyone! Let's all offer a prayer for our country. <U+0001F64F>  

Ps. Let's all watch Pres. Duterte's important announcement tonight at 6:30 pm as Philippines fights against COVID-19."
